Name,Type,Total produced,Total sold,Total unsold,Damaged,Month,Year,Quarter,Edition,Price,Gender, Sales percent , Damage percent ,Estimated revenue,Unrealized revenue,Unrealized Revenue(Damaged),Total unrialized rev ,Price bucket
Columbia Trailstorm Waterproof,Crisper,25713,23667,1542,504,June,2021,Q2,Special Release,110,M,92.04,1.96,"$2,603,370","$169,620","$55,440","$225,060",High
Nike Air Force 1 07 Sneakers,Crisper,96163,81503,5400,9260,November,2020,Q4,Holiday,115,M,84.76,9.63,"$9,372,845","$621,000","$1,064,900","$1,685,900",High
Adidas Originals Samba OG Shoes,Creamy,51180,20642,21835,8703,June,2019,Q2,Limited,100,F,40.33,17,"$2,064,200","$2,183,500","$870,300","$3,053,800",Mid
Air Jordan 1 Mid Shoes,Crisper,51441,9754,41077,610,February,2020,Q1,Special Release,110,M,18.96,1.19,"$1,072,940","$4,518,470","$67,100","$4,585,570",High
Red Tape Casual Sneakers,Classic,80468,32938,14377,33153,December,2017,Q4,Limited,35,M,40.93,41.2,"$1,152,830","$503,195","$1,160,355","$1,663,550",Low
Nike Court Vision Low Shoes,Peanut Butter,58434,23676,24420,10338,November,2019,Q4,Special Release,80,M,40.52,17.69,"$1,894,080","$1,953,600","$827,040","$2,780,640",Mid
Puma Smash V2 Sneakers,Creamy,82692,44240,31664,6788,November,2024,Q4,Limited,65,M,53.5,8.21,"$2,875,600","$2,058,160","$441,220","$2,499,380",Mid
Converse Chuck Taylor All Star,Creamy,82512,25374,39290,17848,February,2018,Q1,Special Release,60,F,30.75,21.63,"$1,522,440","$2,357,400","$1,070,880","$3,428,280",Mid
New Balance 574 Core,Peanut Butter,93130,39600,20408,33122,June,2020,Q2,Holiday,90,M,42.52,35.57,"$3,564,000","$1,836,720","$2,980,980","$4,817,700",Mid
Reebok Classic Leather,Classic,93136,60518,5442,27176,February,2018,Q1,Standard,85,M,64.98,29.18,"$5,144,030","$462,570","$2,309,960","$2,772,530",Mid
Under Armour Charged Assert 9,Creamy,44335,15589,4458,24288,December,2019,Q4,Special Release,75,M,35.16,54.78,"$1,169,175","$334,350","$1,821,600","$2,155,950",Mid
Fila Disruptor II Premium,Classic,19862,19468,41,353,September,2016,Q3,Special Release,70,F,98.02,1.78,"$1,362,760","$2,870","$24,710","$27,580",Mid
ASICS Gel-Quantum 90,Brownie,82420,24410,29844,28166,June,2016,Q2,Standard,100,M,29.62,34.17,"$2,441,000","$2,984,400","$2,816,600","$5,801,000",Mid
Skechers DLites,Almond,37535,27349,6098,4088,June,2022,Q2,Standard,75,F,72.86,10.89,"$2,051,175","$457,350","$306,600","$763,950",Mid
Vans Old Skool,Brownie,30257,12757,12176,5324,December,2023,Q4,Limited,70,M,42.16,17.6,"$892,990","$852,320","$372,680","$1,225,000",Mid
Onitsuka Tiger Mexico 66,Peanut Butter,53540,31982,13427,8131,December,2017,Q4,Limited,100,M,59.73,15.19,"$3,198,200","$1,342,700","$813,100","$2,155,800",Mid
Lacoste Carnaby Evo,Crisper,15075,12711,1453,911,March,2017,Q1,Anniversary,95,M,84.32,6.04,"$1,207,545","$138,035","$86,545","$224,580",Mid
Superga 2750 Cotu Classic,Peanut Butter,13101,10406,1904,791,June,2019,Q2,Holiday,65,M,79.43,6.04,"$676,390","$123,760","$51,415","$175,175",Mid
Hoka One One Clifton 8,White Chocolate,46585,28012,1881,16692,June,2019,Q2,Special Release,140,M,60.13,35.83,"$3,921,680","$263,340","$2,336,880","$2,600,220",High
Saucony Jazz Original,Classic,44237,16702,8511,19024,December,2017,Q4,Standard,80,F,37.76,43,"$1,336,160","$680,880","$1,521,920","$2,202,800",Mid
Columbia Trailstorm Waterproof,Almond,51114,33599,757,16758,April,2016,Q2,Anniversary,110,M,65.73,32.79,"$3,695,890","$83,270","$1,843,380","$1,926,650",High
Nike Air Force 1 07 Sneakers,Almond,15817,12144,3667,6,October,2020,Q4,Special Release,115,M,76.78,0.04,"$1,396,560","$421,705",$690,"$422,395",High
Adidas Originals Samba OG Shoes,Almond,66531,9585,13415,43531,September,2018,Q3,Special Release,100,M,14.41,65.43,"$958,500","$1,341,500","$4,353,100","$5,694,600",Mid
Air Jordan 1 Mid Shoes,Creamy,49363,38234,6062,5067,June,2022,Q2,Anniversary,110,F,77.45,10.26,"$4,205,740","$666,820","$557,370","$1,224,190",High
Red Tape Casual Sneakers,Brownie,26683,11286,8509,6888,June,2022,Q2,Anniversary,35,M,42.3,25.81,"$395,010","$297,815","$241,080","$538,895",Low
Nike Court Vision Low Shoes,Brownie,84593,44446,13535,26612,February,2021,Q1,Standard,80,M,52.54,31.46,"$3,555,680","$1,082,800","$2,128,960","$3,211,760",Mid
Puma Smash V2 Sneakers,Crisper,86019,84516,163,1340,August,2018,Q3,Anniversary,65,M,98.25,1.56,"$5,493,540","$10,595","$87,100","$97,695",Mid
Converse Chuck Taylor All Star,Brownie,72021,27241,1602,43178,December,2015,Q4,Holiday,60,F,37.82,59.95,"$1,634,460","$96,120","$2,590,680","$2,686,800",Mid
New Balance 574 Core,Classic,40784,25343,11761,3680,January,2024,Q1,Limited,90,M,62.14,9.02,"$2,280,870","$1,058,490","$331,200","$1,389,690",Mid
Reebok Classic Leather,Peanut Butter,72277,14545,27886,29846,August,2019,Q3,Special Release,85,F,20.12,41.29,"$1,236,325","$2,370,310","$2,536,910","$4,907,220",Mid
Under Armour Charged Assert 9,Crisper,62383,20989,31723,9671,May,2022,Q2,Standard,75,M,33.65,15.5,"$1,574,175","$2,379,225","$725,325","$3,104,550",Mid
Fila Disruptor II Premium,White Chocolate,65724,19341,34857,11526,January,2024,Q1,Special Release,70,M,29.43,17.54,"$1,353,870","$2,439,990","$806,820","$3,246,810",Mid
ASICS Gel-Quantum 90,White Chocolate,25906,19957,4857,1092,December,2023,Q4,Anniversary,100,F,77.04,4.22,"$1,995,700","$485,700","$109,200","$594,900",Mid
Skechers DLites,White Chocolate,68008,45150,6318,16540,October,2019,Q4,Special Release,75,M,66.39,24.32,"$3,386,250","$473,850","$1,240,500","$1,714,350",Mid
Vans Old Skool,Creamy,72216,63991,3979,4246,June,2023,Q2,Limited,70,F,88.61,5.88,"$4,479,370","$278,530","$297,220","$575,750",Mid
Onitsuka Tiger Mexico 66,White Chocolate,78327,68517,5891,3919,January,2018,Q1,Anniversary,100,F,87.48,5,"$6,851,700","$589,100","$391,900","$981,000",Mid
Lacoste Carnaby Evo,Peanut Butter,45614,27010,8128,10476,January,2021,Q1,Standard,95,M,59.21,22.97,"$2,565,950","$772,160","$995,220","$1,767,380",Mid
Superga 2750 Cotu Classic,Crisper,30028,28147,1443,438,September,2015,Q3,Anniversary,65,F,93.74,1.46,"$1,829,555","$93,795","$28,470","$122,265",Mid
Hoka One One Clifton 8,Crisper,18161,8388,2890,6883,May,2019,Q2,Special Release,140,M,46.19,37.9,"$1,174,320","$404,600","$963,620","$1,368,220",High
Saucony Jazz Original,White Chocolate,85456,54857,14970,15629,January,2015,Q1,Holiday,80,F,64.19,18.29,"$4,388,560","$1,197,600","$1,250,320","$2,447,920",Mid
Columbia Trailstorm Waterproof,White Chocolate,64921,40272,155,24494,March,2023,Q1,Special Release,110,M,62.03,37.73,"$4,429,920","$17,050","$2,694,340","$2,711,390",High
Nike Air Force 1 07 Sneakers,Crisper,38760,22887,8733,7140,June,2020,Q2,Standard,115,F,59.05,18.42,"$2,632,005","$1,004,295","$821,100","$1,825,395",High
Adidas Originals Samba OG Shoes,Creamy,31632,20315,9226,2091,December,2021,Q4,Special Release,100,F,64.22,6.61,"$2,031,500","$922,600","$209,100","$1,131,700",Mid
Air Jordan 1 Mid Shoes,Brownie,83975,8552,64420,11003,March,2022,Q1,Anniversary,110,F,10.18,13.1,"$940,720","$7,086,200","$1,210,330","$8,296,530",High
Red Tape Casual Sneakers,Peanut Butter,16590,9262,4223,3105,September,2018,Q3,Limited,35,F,55.83,18.72,"$324,170","$147,805","$108,675","$256,480",Low
Nike Court Vision Low Shoes,White Chocolate,59692,23235,8830,27627,October,2017,Q4,Standard,80,M,38.92,46.28,"$1,858,800","$706,400","$2,210,160","$2,916,560",Mid
Puma Smash V2 Sneakers,Almond,39389,9496,4294,25599,April,2022,Q2,Standard,65,M,24.11,64.99,"$617,240","$279,110","$1,663,935","$1,943,045",Mid
Converse Chuck Taylor All Star,Peanut Butter,12671,10089,1958,624,September,2017,Q3,Limited,60,M,79.62,4.92,"$605,340","$117,480","$37,440","$154,920",Mid
New Balance 574 Core,Brownie,38569,35476,228,2865,November,2017,Q4,Holiday,90,M,91.98,7.43,"$3,192,840","$20,520","$257,850","$278,370",Mid
Reebok Classic Leather,White Chocolate,31465,15192,14502,1771,June,2021,Q2,Standard,85,F,48.28,5.63,"$1,291,320","$1,232,670","$150,535","$1,383,205",Mid
Under Armour Charged Assert 9,Crisper,35995,7490,9104,19401,September,2022,Q3,Limited,75,F,20.81,53.9,"$561,750","$682,800","$1,455,075","$2,137,875",Mid
Fila Disruptor II Premium,White Chocolate,99687,83697,2793,13197,May,2016,Q2,Special Release,70,F,83.96,13.24,"$5,858,790","$195,510","$923,790","$1,119,300",Mid
ASICS Gel-Quantum 90,Brownie,66148,48353,5653,12142,October,2015,Q4,Special Release,100,M,73.1,18.36,"$4,835,300","$565,300","$1,214,200","$1,779,500",Mid
Skechers DLites,White Chocolate,65057,58892,2150,4015,March,2016,Q1,Anniversary,75,F,90.52,6.17,"$4,416,900","$161,250","$301,125","$462,375",Mid
Vans Old Skool,Creamy,30052,19270,7897,2885,March,2023,Q1,Special Release,70,F,64.12,9.6,"$1,348,900","$552,790","$201,950","$754,740",Mid
Onitsuka Tiger Mexico 66,Brownie,80539,68372,4551,7616,November,2019,Q4,Special Release,100,M,84.89,9.46,"$6,837,200","$455,100","$761,600","$1,216,700",Mid
Lacoste Carnaby Evo,White Chocolate,21359,9569,4405,7385,September,2017,Q3,Anniversary,95,F,44.8,34.58,"$909,055","$418,475","$701,575","$1,120,050",Mid
Superga 2750 Cotu Classic,Almond,13761,13098,331,332,January,2017,Q1,Anniversary,65,F,95.18,2.41,"$851,370","$21,515","$21,580","$43,095",Mid
Hoka One One Clifton 8,Almond,46655,44069,1455,1131,March,2021,Q1,Standard,140,M,94.46,2.42,"$6,169,660","$203,700","$158,340","$362,040",High
Saucony Jazz Original,Classic,41635,31635,1996,8004,March,2021,Q1,Limited,80,F,75.98,19.22,"$2,530,800","$159,680","$640,320","$800,000",Mid
Columbia Trailstorm Waterproof,Crisper,12260,5762,4088,2410,June,2017,Q2,Anniversary,110,F,47,19.66,"$633,820","$449,680","$265,100","$714,780",High
Nike Air Force 1 07 Sneakers,Creamy,86225,53368,1842,31015,March,2021,Q1,Special Release,115,F,61.89,35.97,"$6,137,320","$211,830","$3,566,725","$3,778,555",High
Adidas Originals Samba OG Shoes,Almond,69473,22754,26625,20094,October,2017,Q4,Limited,100,M,32.75,28.92,"$2,275,400","$2,662,500","$2,009,400","$4,671,900",Mid
Air Jordan 1 Mid Shoes,Almond,25670,22559,285,2826,January,2017,Q1,Limited,110,F,87.88,11.01,"$2,481,490","$31,350","$310,860","$342,210",High
Red Tape Casual Sneakers,Almond,87278,73765,3736,9777,March,2018,Q1,Standard,35,F,84.52,11.2,"$2,581,775","$130,760","$342,195","$472,955",Low
Nike Court Vision Low Shoes,Peanut Butter,57301,16759,20733,19809,February,2015,Q1,Special Release,80,M,29.25,34.57,"$1,340,720","$1,658,640","$1,584,720","$3,243,360",Mid
Puma Smash V2 Sneakers,Classic,82529,43290,30964,8275,February,2022,Q1,Anniversary,65,M,52.45,10.03,"$2,813,850","$2,012,660","$537,875","$2,550,535",Mid
Converse Chuck Taylor All Star,Brownie,47268,35762,3663,7843,December,2019,Q4,Holiday,60,M,75.66,16.59,"$2,145,720","$219,780","$470,580","$690,360",Mid
New Balance 574 Core,Almond,72616,19953,48381,4282,June,2019,Q2,Anniversary,90,M,27.48,5.9,"$1,795,770","$4,354,290","$385,380","$4,739,670",Mid
Reebok Classic Leather,Peanut Butter,29555,23443,3623,2489,December,2015,Q4,Limited,85,F,79.32,8.42,"$1,992,655","$307,955","$211,565","$519,520",Mid
Under Armour Charged Assert 9,Brownie,88135,86057,1154,924,September,2023,Q3,Special Release,75,F,97.64,1.05,"$6,454,275","$86,550","$69,300","$155,850",Mid
Fila Disruptor II Premium,Almond,87139,61207,15926,10006,May,2021,Q2,Special Release,70,M,70.24,11.48,"$4,284,490","$1,114,820","$700,420","$1,815,240",Mid
ASICS Gel-Quantum 90,White Chocolate,37235,25496,8282,3457,December,2017,Q4,Standard,100,M,68.47,9.28,"$2,549,600","$828,200","$345,700","$1,173,900",Mid
Skechers DLites,Brownie,19838,7564,12231,43,August,2019,Q3,Anniversary,75,F,38.13,0.22,"$567,300","$917,325","$3,225","$920,550",Mid
Vans Old Skool,Almond,14278,8792,3126,2360,December,2022,Q4,Holiday,70,F,61.58,16.53,"$615,440","$218,820","$165,200","$384,020",Mid
Onitsuka Tiger Mexico 66,Classic,40595,22337,11776,6482,October,2019,Q4,Standard,100,M,55.02,15.97,"$2,233,700","$1,177,600","$648,200","$1,825,800",Mid
Lacoste Carnaby Evo,Almond,28643,7339,19350,1954,November,2016,Q4,Holiday,95,F,25.62,6.82,"$697,205","$1,838,250","$185,630","$2,023,880",Mid
Superga 2750 Cotu Classic,Crisper,26299,20358,300,5641,May,2018,Q2,Anniversary,65,F,77.41,21.45,"$1,323,270","$19,500","$366,665","$386,165",Mid
Hoka One One Clifton 8,Crisper,20543,14798,5419,326,December,2024,Q4,Anniversary,140,F,72.03,1.59,"$2,071,720","$758,660","$45,640","$804,300",High
Saucony Jazz Original,Classic,21970,12501,45,9424,August,2021,Q3,Standard,80,F,56.9,42.89,"$1,000,080","$3,600","$753,920","$757,520",Mid
Columbia Trailstorm Waterproof,Brownie,15273,7870,3549,3854,October,2020,Q4,Anniversary,110,M,51.53,25.23,"$865,700","$390,390","$423,940","$814,330",High
Nike Air Force 1 07 Sneakers,Brownie,67132,46601,4419,16112,January,2016,Q1,Anniversary,115,F,69.42,24,"$5,359,115","$508,185","$1,852,880","$2,361,065",High
Adidas Originals Samba OG Shoes,Almond,97835,18710,58046,21079,September,2018,Q3,Anniversary,100,F,19.12,21.55,"$1,871,000","$5,804,600","$2,107,900","$7,912,500",Mid
Air Jordan 1 Mid Shoes,Creamy,62488,58317,3871,300,February,2020,Q1,Standard,110,F,93.33,0.48,"$6,414,870","$425,810","$33,000","$458,810",High
Red Tape Casual Sneakers,Classic,62976,61682,241,1053,April,2024,Q2,Standard,35,F,97.95,1.67,"$2,158,870","$8,435","$36,855","$45,290",Low
Nike Court Vision Low Shoes,Crisper,17104,8073,537,8494,January,2019,Q1,Special Release,80,F,47.2,49.66,"$645,840","$42,960","$679,520","$722,480",Mid
Puma Smash V2 Sneakers,White Chocolate,16764,8335,4054,4375,February,2021,Q1,Limited,65,F,49.72,26.1,"$541,775","$263,510","$284,375","$547,885",Mid
Converse Chuck Taylor All Star,Creamy,73532,20915,50726,1891,January,2022,Q1,Special Release,60,M,28.44,2.57,"$1,254,900","$3,043,560","$113,460","$3,157,020",Mid
New Balance 574 Core,Almond,82199,6792,3023,72384,July,2019,Q3,Standard,90,M,8.26,88.06,"$611,280","$272,070","$6,514,560","$6,786,630",Mid
Reebok Classic Leather,Crisper,25396,10045,7186,8165,January,2023,Q1,Holiday,85,F,39.55,32.15,"$853,825","$610,810","$694,025","$1,304,835",Mid
Under Armour Charged Assert 9,Crisper,73242,66894,4352,1996,February,2020,Q1,Special Release,75,M,91.33,2.73,"$5,017,050","$326,400","$149,700","$476,100",Mid
Fila Disruptor II Premium,Brownie,76616,22892,49149,4575,February,2018,Q1,Anniversary,70,F,29.88,5.97,"$1,602,440","$3,440,430","$320,250","$3,760,680",Mid
ASICS Gel-Quantum 90,White Chocolate,10336,7317,46,2973,May,2018,Q2,Special Release,100,F,70.79,28.76,"$731,700","$4,600","$297,300","$301,900",Mid
Skechers DLites,White Chocolate,29476,19632,1020,8824,June,2020,Q2,Holiday,75,F,66.6,29.94,"$1,472,400","$76,500","$661,800","$738,300",Mid
Vans Old Skool,Crisper,52176,17363,19163,15650,May,2021,Q2,Anniversary,70,F,33.28,29.99,"$1,215,410","$1,341,410","$1,095,500","$2,436,910",Mid
Onitsuka Tiger Mexico 66,Classic,51704,35996,4154,11554,February,2024,Q1,Anniversary,100,M,69.62,22.35,"$3,599,600","$415,400","$1,155,400","$1,570,800",Mid
Lacoste Carnaby Evo,Crisper,14852,7068,3670,4114,August,2021,Q3,Holiday,95,F,47.59,27.7,"$671,460","$348,650","$390,830","$739,480",Mid
Superga 2750 Cotu Classic,Classic,78937,64890,13796,251,February,2023,Q1,Limited,65,M,82.2,0.32,"$4,217,850","$896,740","$16,315","$913,055",Mid
Hoka One One Clifton 8,Classic,71537,39737,20707,11093,December,2021,Q4,Anniversary,140,F,55.55,15.51,"$5,563,180","$2,898,980","$1,553,020","$4,452,000",High
Saucony Jazz Original,White Chocolate,98389,74942,10995,12452,July,2018,Q3,Anniversary,80,M,76.17,12.66,"$5,995,360","$879,600","$996,160","$1,875,760",Mid
Columbia Trailstorm Waterproof,Brownie,18968,8846,5414,4708,July,2017,Q3,Standard,110,M,46.64,24.82,"$973,060","$595,540","$517,880","$1,113,420",High
Nike Air Force 1 07 Sneakers,White Chocolate,93066,18173,16740,58153,November,2016,Q4,Holiday,115,M,19.53,62.49,"$2,089,895","$1,925,100","$6,687,595","$8,612,695",High
Adidas Originals Samba OG Shoes,Almond,17355,9806,4613,2936,March,2019,Q1,Anniversary,100,F,56.5,16.92,"$980,600","$461,300","$293,600","$754,900",Mid
Air Jordan 1 Mid Shoes,Brownie,99364,28600,48484,22280,December,2016,Q4,Standard,110,F,28.78,22.42,"$3,146,000","$5,333,240","$2,450,800","$7,784,040",High
Red Tape Casual Sneakers,Brownie,99539,36566,30358,32615,July,2021,Q3,Limited,35,F,36.74,32.77,"$1,279,810","$1,062,530","$1,141,525","$2,204,055",Low
Nike Court Vision Low Shoes,Crisper,43466,5615,7361,30490,March,2018,Q1,Special Release,80,F,12.92,70.15,"$449,200","$588,880","$2,439,200","$3,028,080",Mid
Puma Smash V2 Sneakers,Almond,87014,44210,931,41873,October,2019,Q4,Holiday,65,F,50.81,48.12,"$2,873,650","$60,515","$2,721,745","$2,782,260",Mid
Converse Chuck Taylor All Star,Peanut Butter,60422,36667,20261,3494,August,2017,Q3,Anniversary,60,F,60.68,5.78,"$2,200,020","$1,215,660","$209,640","$1,425,300",Mid
New Balance 574 Core,Creamy,48696,6437,16320,25939,January,2018,Q1,Standard,90,M,13.22,53.27,"$579,330","$1,468,800","$2,334,510","$3,803,310",Mid
Reebok Classic Leather,Brownie,75107,42512,7176,25419,December,2023,Q4,Limited,85,F,56.6,33.84,"$3,613,520","$609,960","$2,160,615","$2,770,575",Mid
Under Armour Charged Assert 9,Peanut Butter,93442,29920,22832,40690,October,2017,Q4,Limited,75,M,32.02,43.55,"$2,244,000","$1,712,400","$3,051,750","$4,764,150",Mid
Fila Disruptor II Premium,Almond,67779,7186,22611,37982,February,2019,Q1,Limited,70,F,10.6,56.04,"$503,020","$1,582,770","$2,658,740","$4,241,510",Mid
ASICS Gel-Quantum 90,Almond,64460,16510,34791,13159,June,2016,Q2,Special Release,100,F,25.61,20.41,"$1,651,000","$3,479,100","$1,315,900","$4,795,000",Mid
Skechers DLites,Brownie,75771,40720,24268,10783,November,2017,Q4,Anniversary,75,F,53.74,14.23,"$3,054,000","$1,820,100","$808,725","$2,628,825",Mid
Vans Old Skool,Creamy,54396,12547,11157,30692,November,2015,Q4,Limited,70,M,23.07,56.42,"$878,290","$780,990","$2,148,440","$2,929,430",Mid
Onitsuka Tiger Mexico 66,White Chocolate,98647,93395,1997,3255,June,2024,Q2,Special Release,100,F,94.68,3.3,"$9,339,500","$199,700","$325,500","$525,200",Mid
Lacoste Carnaby Evo,Classic,44663,40164,3487,1012,February,2020,Q1,Holiday,95,F,89.93,2.27,"$3,815,580","$331,265","$96,140","$427,405",Mid
Superga 2750 Cotu Classic,Brownie,59941,58897,284,760,March,2016,Q1,Limited,65,F,98.26,1.27,"$3,828,305","$18,460","$49,400","$67,860",Mid
Hoka One One Clifton 8,Brownie,39015,9142,9053,20820,March,2024,Q1,Anniversary,140,F,23.43,53.36,"$1,279,880","$1,267,420","$2,914,800","$4,182,220",High
Saucony Jazz Original,Creamy,63516,12646,41710,9160,July,2015,Q3,Standard,80,F,19.91,14.42,"$1,011,680","$3,336,800","$732,800","$4,069,600",Mid
Columbia Trailstorm Waterproof,Classic,22739,12693,1239,8807,July,2016,Q3,Anniversary,110,F,55.82,38.73,"$1,396,230","$136,290","$968,770","$1,105,060",High
